model,context_set_id,dataset,context_size,accuracy_teacher,accuracy_indomain,accuracy_ood,trainable_parameters,all_parameters
opt-2.7b,1,qqp,2,0.59375,0.53,0.57,5242880,2656839680
opt-2.7b,1,qqp,32,0.59375,0.51,0.51,5242880,2656839680
opt-2.7b,2,qqp,16,0.3125,0.38,0.33,5242880,2656839680
opt-2.7b,2,qqp,2,0.4375,0.51,0.6,5242880,2656839680
opt-2.7b,2,qqp,32,0.53125,0.47,0.48,5242880,2656839680
opt-2.7b,3,qqp,16,0.5625,0.43,0.47,5242880,2656839680
opt-2.7b,3,qqp,2,0.59375,0.6,0.66,5242880,2656839680
opt-2.7b,3,qqp,32,0.59375,0.54,0.55,5242880,2656839680
opt-350m,0,qqp,16,0.59375,0.43,0.6,1572864,332769280
opt-350m,0,qqp,2,0.5,0.42,0.61,1572864,332769280
opt-350m,0,qqp,32,0.25,0.42,0.28,1572864,332769280
opt-350m,1,qqp,16,0.375,0.47,0.64,1572864,332769280
opt-350m,1,qqp,2,0.53125,0.45,0.64,1572864,332769280
opt-350m,1,qqp,32,0.375,0.44,0.47,1572864,332769280
opt-350m,2,qqp,16,0.375,0.41,0.43,1572864,332769280
opt-350m,2,qqp,2,0.3125,0.37,0.43,1572864,332769280
opt-350m,2,qqp,32,0.40625,0.39,0.36,1572864,332769280
opt-350m,3,qqp,16,0.28125,0.37,0.29,1572864,332769280
opt-350m,3,qqp,2,0.625,0.42,0.49,1572864,332769280
opt-350m,3,qqp,32,0.375,0.35,0.29,1572864,332769280
opt-1.3b,0,rte,16,0.5,0.51,0.54,3145728,1318903808
opt-1.3b,0,rte,2,0.71875,0.52,0.47,3145728,1318903808
opt-1.3b,1,rte,16,0.5625,0.47,0.52,3145728,1318903808
opt-1.3b,1,rte,2,0.5,0.55,0.52,3145728,1318903808
opt-1.3b,2,rte,16,0.46875,0.45,0.51,3145728,1318903808
opt-1.3b,2,rte,2,0.375,0.55,0.5,3145728,1318903808
opt-1.3b,3,rte,16,0.53125,0.49,0.56,3145728,1318903808
opt-1.3b,3,rte,2,0.53125,0.53,0.53,3145728,1318903808
opt-125m,0,rte,16,0.5,0.55,0.54,589824,125829120
opt-125m,0,rte,2,0.65625,0.51,0.53,589824,125829120
opt-125m,1,rte,16,0.3125,0.53,0.47,589824,125829120
opt-125m,1,rte,2,0.46875,0.51,0.5,589824,125829120
opt-125m,2,rte,16,0.4375,0.52,0.49,589824,125829120
opt-125m,2,rte,2,0.40625,0.52,0.49,589824,125829120
opt-125m,3,rte,16,0.5,0.52,0.57,589824,125829120
opt-125m,3,rte,2,0.46875,0.52,0.54,589824,125829120
opt-350m,0,rte,16,0.65625,0.58,0.5,1572864,332769280
